Dish Name,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein
OATLY Chocolate Soft Serve,204,7.9g,1.1g,0g,0mg,62.4mg,31.8g,0g,21.5g,2.3g
OATLY Vanilla Soft Serve,215,9.1g,1.1g,0g,0mg,62.4mg,31.8g,1.1g,22.7g,1.1g
Maple Cracked Wheat Bread,101,1.5g,0.1g,0g,0mg,162.7mg,17.9g,0.9g,1.8g,3.2g
Taiwan Pork & Pickled Vegetables,140,7.5g,2.5g,0.1g,87.6mg,428.7mg,10.4g,0.4g,2g,7.1g
California Roll,230,1.5g,0.2g,0g,3.3mg,817mg,47.7g,0.9g,13.4g,6g
Teriyaki Chicken Roll,231,1.9g,0.3g,0g,13.4mg,642.1mg,44.5g,0.9g,13.9g,7.9g
Vegetable Sushi Roll,204,1.4g,0.2g,0g,0mg,576.8mg,43.3g,0.9g,12.7g,3.6g
Honey Lemongrass Chicken,153,5.9g,1g,0g,66.5mg,1003mg,10.5g,0.9g,6.6g,14.7g
Teriyaki Tofu w/Sesame Seeds,227,16.6g,2.2g,0g,0mg,297.6mg,7.3g,2.2g,0.9g,13.7g
Vegetable Fried Rice,141,5.1g,0.7g,0g,23.5mg,355.8mg,20.3g,1.5g,2.1g,3g
Braised Kale & Tomatoes,46,1.8g,0.2g,0g,0mg,110.4mg,6.5g,2.4g,1.6g,2.8g
Chicken Yassa,209,13.9g,4g,0g,66.3mg,122.1mg,2.1g,0.4g,0.4g,17.2g
"Cucumber, Feta, Dill & Mint Salad",50,3.6g,1.7g,0g,0mg,209.7mg,2.8g,0.6g,1.3g,2g
Cumin Basmati Rice,138,2.8g,0.2g,0g,0mg,75.8mg,24.5g,1.3g,0g,2.5g
Marinated Cabbage,10,0.2g,0g,0g,0mg,57.4mg,2.3g,0.9g,1.1g,0.4g
Tomato Salad w/Parsley & Sumac,43,3.6g,0.5g,0g,0mg,126.6mg,2.7g,0.6g,1.4g,0.4g
Margherita Chicken,161,9.6g,2.7g,0g,52.5mg,193mg,1.8g,0.3g,0.7g,16.4g
"Summer Squash, Tomato & Basil",22,0.6g,0.1g,0g,0mg,86.1mg,4g,0.9g,2.1g,0.9g
Tortellini w/Red Pepper Pesto & Artichoke,209,7.2g,1.3g,0g,7.5mg,427.4mg,29.9g,0.8g,1.5g,6.5g
Carrots,5,0g,0g,0g,0mg,10.9mg,1.3g,0.4g,0.9g,0.2g
Chopped Cilantro,1,0g,0g,0g,0mg,1.6mg,0.1g,0.1g,0g,0.1g
Fresh Red Peppers,3,0g,0g,0g,0mg,0.4mg,0.6g,0.2g,0.4g,0.1g
Jasmine Rice,93,0g,0g,0g,0mg,0mg,20.9g,0.6g,0g,1.7g
Pickled Daikon,13,0g,0g,0g,0mg,70.8mg,3.1g,0g,2.8g,0.1g
Scallions,6,0g,0g,,0mg,2.9mg,1.3g,0.4g,0g,0.3g
Thai Basil,1,0g,0g,0g,0mg,0.1mg,0.1g,0.1g,0g,0.1g
Thai Cucumber Salad,19,0g,0g,0g,0mg,227.9mg,4.6g,0.2g,4.1g,0.2g
Thai Red Curry Tofu,124,9g,4.7g,0g,0mg,153.6mg,3.7g,1.8g,1.2g,6.9g
Thai Stir Fried Green Beans,66,4.1g,0.3g,0g,0.1mg,213.5mg,6.8g,2.1g,3.3g,1.8g
Baked Salmon w/Guava Sauce,195,12.8g,2.3g,0g,50.6mg,158.6mg,6.6g,2.2g,3.7g,14.5g
Corn & Black Bean Salad,64,3.2g,0.4g,0g,0mg,67.5mg,7.2g,1.6g,1.3g,2.1g
Mexican Tomato Salad,40,2.9g,0.9g,0g,2.7mg,72.5mg,2.4g,0.5g,1.4g,1.2g
Pinto Beans,86,1.6g,0.1g,0g,0mg,283.5mg,14g,2.9g,0.9g,4g
Yellow Rice,111,2.7g,0.2g,0g,0mg,180.1mg,18.5g,0.7g,0.3g,1.7g
Yuca Fries,214,13.5g,1.5g,0g,0mg,210.7mg,22.6g,0g,0.5g,0.5g
1% Milk,100,2.3g,1.5g,0.1g,11.9mg,104.3mg,11.8g,0g,11.8g,8g
Assorted Cereals,0,0g,0g,0g,0mg,0.3mg,0g,0g,0g,0g
French Toast Sticks,480,14g,2g,0g,20mg,520mg,76g,4g,24g,12g
Lowfat Chocolate Milk,172,4.3g,2.7g,0.1g,18.1mg,149.7mg,27.5g,1.6g,21.7g,6.8g
Multigrain Croissant,150,8g,4.5g,0g,25mg,140mg,17g,1g,2g,4g
Orange Juice,120,0g,0g,0g,0mg,0mg,29g,0g,28g,0g
Red Potato Home Fries,65,0.7g,0.1g,0g,0mg,153.7mg,13.4g,0.1g,1.1g,1.6g
Baked Tater Tots,160,8g,0.5g,0g,0mg,250.1mg,20g,2g,0g,2g
Fudge Drop Brownie,265,11.6g,3.2g,0g,16.3mg,162.5mg,38g,1.5g,26.1g,2.1g
General Tso Chicken,197,12g,1.5g,0g,26.9mg,398.8mg,15.6g,0.9g,3.4g,6.9g
General Tso Pulmuone Tofu,148,8.2g,1.5g,0g,0mg,147.7mg,12g,2.7g,2g,6.1g
General Tso's Sauce,24,0g,0g,0g,0mg,239.4mg,5.5g,0g,2.3g,0.4g
Jasmine Rice,92,0g,0g,0g,0mg,0mg,20.7g,0.6g,0g,1.7g
Pulled Pork Sandwich,317,7.7g,3g,0g,60.4mg,952.7mg,36.2g,0.2g,3.7g,24.1g
Sugar Cookies,380,20g,8g,0g,40mg,460mg,46g,0g,22g,4g
VIOLIFE Plant Based Meatball Grinder,443,17.2g,7g,0g,0.1mg,997mg,51.7g,1.2g,4.9g,23.4g
Roasted Zucchini,21,1.2g,0.1g,0g,0mg,35.1mg,2.2g,0.6g,1.6g,0.9g
Penne w/Meatballs & Creamy Tom Sauce,248,14g,6g,0.1g,32.2mg,282.4mg,38g,1.2g,2.7g,10.9g
Sauteed Broccoli,26,1.4g,0.1g,0g,0mg,34.4mg,2.1g,2.6g,1.7g,2.6g
Zesty Orange Chicken,300,16.7g,2.1g,0g,34.2mg,731.7mg,22.6g,0.1g,11.2g,14.6g
Zesty Orange Tofu,276,17.3g,2.3g,0g,0mg,440.5mg,22.5g,1.9g,12.1g,7g
GENERAL MILLS Apple Turnover,350,22g,11g,0g,0mg,220mg,33g,1g,8g,4g
"Rstd Tomato, Bean & Mushroom Breakfast",211,13g,1g,0g,0mg,394.4mg,20.5g,4.4g,6.2g,5g
Sliced Kielbasa,254,20.9g,12g,0g,44.9mg,792.9mg,3g,0g,1.5g,12g
Chocolate Chip Scones,300,15g,6g,0g,15mg,290mg,39g,1g,16g,4g
Maple Walnut Sticky Bun,329,15.6g,7.5g,0g,31.4mg,202.2mg,45.6g,1.4g,29g,3.8g
Mini Butter Croissant,150,8g,5g,0g,30mg,180mg,15g,1g,2g,3g
Baked Herbs de Provence Chicken,86,2.9g,0.8g,0g,67.2mg,67.9mg,0g,0g,0g,14g
Grilled Carrots,27,1.7g,0.3g,0g,0mg,58.4mg,2.9g,0.9g,1.4g,0.3g
Mushroom Vegetable Congee,83,0.7g,0.1g,0g,0mg,318.4mg,17.6g,1.6g,1.7g,2.6g
Pork & Century Egg Congee,143,3.6g,1.2g,0g,71.4mg,115.6mg,22g,0.6g,0.3g,4.8g
Chicken & Vegetable Stir Fry,98,4.2g,0.6g,0g,29.2mg,507.4mg,6.9g,1g,2.7g,7.7g
Plant Based Ma Po Tofu,162,9.2g,2.6g,0g,0mg,410.6mg,9.8g,3.3g,4.4g,11.2g
Bombay Lentils & Spinach,68,1.1g,0g,0g,0mg,317.5mg,11.3g,3.4g,2.3g,4.5g
Chole Chickpea Curry,83,2.1g,0.1g,0g,0mg,197.7mg,11.9g,2.5g,2.9g,3.4g
Naan,130,1.7g,0.6g,0g,0mg,175.7mg,24.9g,1.1g,1.1g,4g
Vegetable Korma,60,3.4g,1.7g,0g,8.5mg,374.2mg,6g,1.7g,2.6g,0.9g
Baked Ziti,237,4.1g,1.3g,0g,6mg,164.2mg,43.1g,3.7g,3.1g,8.9g
Orecchiette Pasta,145,0.7g,0g,0g,0mg,200.1mg,30.6g,2.2g,0.7g,5.1g
Tomato Pesto Cream,179,16.9g,9.8g,0.5g,50.4mg,297.4mg,4.8g,0.5g,3.6g,2.6g
Chickpea & Roasted Pepper Salad w/Tahini,135,9.7g,1.3g,0g,0mg,163.8mg,9.7g,1.8g,2g,3.6g
