Dish Name,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein
Barley & Roasted Tomato Risotto,72,1g,0.1g,0g,0mg,108.3mg,14g,2.8g,1.9g,1.9g
Basil Cream Pesto Sauce,203,19.8g,9.3g,0.5g,48mg,107.3mg,3.4g,0.1g,2.1g,3.5g
Basmati Rice,121,0g,0g,0g,0mg,0mg,26.2g,1.3g,0g,2.6g
Beans Black,56,0g,0g,0g,0mg,66mg,10.2g,2.5g,0.5g,3.6g
Beef & Broccoli,119,2.5g,0.8g,0.1g,25.4mg,746.4mg,13.4g,2.1g,6.7g,11.1g
Beef Barbacoa Nacho Bar,389,23.5g,9.7g,0g,45.9mg,726.8mg,30.1g,4.1g,3g,12.6g
Beef Brisket Noodle Bowl,221,3.1g,0.9g,0g,15.3mg,547.8mg,37.1g,2.3g,1.9g,11.8g
Beef Burrito,323,10.8g,4.6g,0g,48.1mg,707.4mg,36.4g,4.3g,1.1g,22.1g
Beef Fajita (Meat Only),82,3.4g,0.8g,0g,23.6mg,199mg,3.8g,1.2g,0.9g,9.1g
Beef Kefta,266,17.5g,5.8g,0.6g,72.7mg,146.1mg,3.2g,1.1g,0.1g,22.9g
Beef Nacho Bar,168,8.1g,2g,0.2g,13.5mg,80.3mg,18.5g,1.4g,0.4g,5.3g
Beef Nachos,756,43.3g,17.4g,0g,127.2mg,869.4mg,56.6g,4.8g,0.7g,40.2g
Beef Pho w/Chicken Broth,153,5g,1g,0g,30.4mg,2793.8mg,16.1g,0.1g,5.6g,13.8g
Beef Pho w/Spicy Green Curry Broth,163,6.4g,2.8g,0g,33mg,2165.3mg,14.8g,0.1g,5.1g,13.4g
Beef Pho w/Vegetable Broth,141,5g,1g,0g,30.4mg,2988.4mg,15g,0g,5.9g,11.6g
Beef Quesadilla,658,38.2g,19.8g,0g,139.2mg,1254.1mg,39.5g,4.3g,1.1g,43.4g
Beef Salad,149,5.6g,2.1g,0g,48.1mg,296.9mg,9.1g,3.3g,2.5g,17.9g
Beef Tacos (Meat Only),70,4.7g,1.8g,0.3g,16.8mg,31.1mg,1.9g,0.5g,0.6g,4.3g
Beef Teriyaki Don,644,34.1g,5.8g,0.1g,214.4mg,1143.6mg,53g,1.7g,21.7g,31.5g
Beef for Pho,30,1g,0.5g,0g,15.2mg,151.9mg,0g,0g,0g,5.6g
Berries & Cream French Toast,163,4g,1.7g,0g,49.5mg,200.2mg,26.3g,0.2g,10.2g,5.1g
Berry Bar,137,4.8g,1.6g,0g,0mg,93.9mg,22.4g,1g,13.3g,1.2g
Berry Bar,274,9.5g,3.3g,0g,0mg,187.7mg,44.9g,2g,26.5g,2.4g
Besan Chilla (Chickpea Pancakes),80,2.1g,0.1g,0g,0mg,83.4mg,10.5g,1.3g,0.2g,4.1g
Big Mack Burger,599,33.9g,13.1g,1g,108mg,1143.5mg,40.1g,1g,4.1g,32g
Black Bean Burger,160,7g,0g,0g,0mg,470mg,19g,4g,3g,7g
Black Bean Frijoles,72,0g,0g,0g,0mg,85.1mg,13.1g,3.3g,0.7g,4.6g
Black Bean Mussels,52,2.2g,0.2g,0g,10mg,719.6mg,3.1g,0g,1g,4.9g
Black Bean Sweet Potato Burger,170,2.5g,0g,0g,0mg,250.4mg,32g,0g,3g,8g
"Black Bean, Rice & Cilantro",114,1.5g,0.1g,0g,0mg,63.9mg,20.7g,2g,0.3g,3.1g
Black Beans,48,1g,0.1g,0g,0mg,130.3mg,7.7g,1.6g,0.4g,2.2g
Black Beans,80,1.7g,0.1g,0g,0mg,217.7mg,12.8g,2.6g,0.7g,3.6g
Black Rice,83,0g,0g,0g,0mg,68.6mg,17.4g,0.7g,0.8g,1.9g
Blackberry Crisp,163,5.3g,1.8g,0g,0mg,71.4mg,29.2g,2.9g,18.1g,1.5g
Blackened Hake,114,3g,0.3g,0g,49.1mg,196.9mg,0.3g,0.1g,0g,20.4g
Blackened Tuna w/Avocado Salsa,135,6.3g,0.7g,0g,39mg,98.7mg,2.4g,1.2g,0.6g,16.6g
Blue Wall Burger w/Onions Rings,967,51.1g,18.9g,0.8g,137.6mg,2522.8mg,89.2g,5.6g,37.2g,43.6g
Blue Wall Club (Bacon),787,40.3g,9g,0g,115.1mg,1843.5mg,60.8g,8.7g,3.2g,48.2g
Blue Wall Don,806,44.9g,6.5g,0.1g,210.8mg,441.2mg,70.4g,2g,12.2g,31.2g
Blueberries,32,0.2g,0g,0g,0mg,0.6mg,8.2g,1.4g,5.6g,0.4g
"Blueberry Blizzard Coffeecake (Pecans, Walnuts)",8,0.4g,0.1g,0g,1.3mg,5.6mg,1.1g,0g,0.7g,0.1g
Blueberry Buckle,146,3.9g,0.3g,0g,0mg,74.1mg,27.2g,1g,15.6g,2g
Blueberry Cobbler,152,3.8g,1.2g,0g,0mg,81.2mg,28.9g,1.4g,14.4g,1.7g
Blueberry Muffin Top,249,12.7g,1.4g,0.1g,45.6mg,176mg,30.6g,0.5g,17.1g,3.1g
Blueberry Pancakes,193,3.8g,0.9g,0g,9.5mg,436.6mg,36g,0.2g,7.3g,4.8g
Blueberry Poppy Seed Pull Apart Roll,111,1.6g,0.8g,0g,15.5mg,87.1mg,20.4g,1.3g,5.2g,3.2g
Blueberry Poppy Seed Roll,111,1.6g,0.8g,0g,15.5mg,87.1mg,20.4g,1.3g,5.2g,3.2g
Blueberry Scones,290,13g,5g,0g,15mg,300mg,40g,1g,17g,4g
Blueberry Walnut Bread,88,2.9g,0.5g,0g,0mg,38.2mg,14.7g,0.6g,8g,1.6g
Blueberry Yogurt Parfait,285,4.8g,1g,0g,5mg,130mg,54.1g,0.8g,27.9g,7.3g
Bolognese Sauce,151,9.8g,3.3g,0.5g,28.6mg,197mg,6.9g,2g,4.1g,8.3g
Bombay Lentils & Spinach,68,1.1g,0g,0g,0mg,317.5mg,11.3g,3.4g,2.3g,4.5g
Bow Tie Pasta,88,0.4g,0g,0g,0mg,9.1mg,18.4g,1.3g,0.4g,3.1g
Bow Tie Pasta,117,0.6g,0g,0g,0mg,12.1mg,24.5g,1.8g,0.6g,4.1g
Braised Collard Greens,53,3.4g,0.5g,0g,0mg,146.5mg,4.9g,3.4g,0.4g,2.6g
Braised Collards in Tomato Onion Gravy,31,0.8g,0.1g,0g,0mg,48.8mg,5.1g,3.1g,0.5g,2.4g
Braised Kale & Tomatoes,46,1.8g,0.2g,0g,0mg,110.4mg,6.5g,2.4g,1.6g,2.8g
Braised Pork w/White Beans & Tomatoes,126,7.1g,2g,0g,27.5mg,281.5mg,5.7g,1.6g,1.1g,9.6g
Braised Pulmuone Tofu,131,7.2g,1.3g,0g,0.1mg,326.2mg,6.6g,2.3g,2g,10.9g
Bread Pudding,293,21g,13.1g,0.6g,92.6mg,98.2mg,23.1g,0.5g,16g,3.7g
Breaded Chicken Breast,297,21.6g,2.6g,0g,34.9mg,507.2mg,11.9g,0.7g,0.7g,14.7g
Breaded Chicken Burger,431,23.7g,3.1g,0g,34.9mg,680mg,35.7g,3g,6.2g,20.9g
Breaded Chicken Sandwich,550,33.4g,4.6g,0g,43.2mg,1383.1mg,46.7g,3g,15.3g,19.2g
Breaded Chicken Tenders,334,22.4g,2.3g,0g,43.4mg,590.3mg,15.6g,0g,0.9g,15.6g
Breakfast Burrito,346,13.7g,4.3g,0.1g,162.9mg,348.8mg,39.2g,2.5g,0.4g,15.9g
Breakfast Sandwich,226,8.9g,3.6g,0g,161.5mg,568.6mg,24g,1g,1.5g,11.9g
Broccoli Chicken Alfredo Pasta,145,6g,1.8g,0g,17.3mg,188mg,15.3g,1.1g,1.6g,8.5g
Broccoli Flowerettes,22,1.2g,0.1g,0g,0mg,90.8mg,1.8g,2.2g,1.4g,2.2g
Brown Rice,248,1.8g,0.4g,0g,0mg,2.7mg,52.2g,2.3g,0g,5.1g
Brown Rice,123,0.9g,0.2g,0g,0mg,3.4mg,25.9g,1g,0.3g,2.7g
Brown Rice,82,0.6g,0.1g,0g,0mg,11.7mg,17.3g,0.7g,0.2g,1.8g
Brown Rice Pilaf,68,1.8g,0.1g,0g,0mg,61mg,12.4g,0.7g,0.1g,1.4g
Brown Rice w/Lime & Cilantro,79,0.6g,0.1g,0g,0mg,541.5mg,16.5g,0.8g,0g,1.6g
Brussel Sprouts Tops,41,0.6g,0.1g,0g,0mg,108.4mg,7.9g,3.3g,1.9g,3g
Bucatini all' Amatriciana (Pork),164,6.5g,1.7g,0g,8mg,192.2mg,21.5g,0.8g,0.4g,6.2g
Buffalo Chicken,255,17.2g,2.1g,0g,35.1mg,494.1mg,11g,0g,0g,14g
Buffalo Chicken Baked Potato Bar,231,12.5g,5.1g,0.2g,30.7mg,375.3mg,19.9g,2.1g,0.6g,10.4g
Buffalo Chicken Leg,119,7.1g,2.4g,0g,73.8mg,380.2mg,0.6g,0g,0.2g,12.7g
Buffalo Chicken Pizza w/Cauliflower Crust,246,12.8g,5.8g,0.3g,39.7mg,550.9mg,21.8g,0.6g,1.5g,11g
Buffalo Chicken Quesadilla,212,11.5g,6.9g,0.1g,50mg,625.8mg,11.7g,0.5g,0.2g,16.2g
Buffalo Chicken Salad,552,43.2g,8g,0g,71.9mg,1199.1mg,24.1g,2.7g,4.6g,22.5g
Buffalo Chicken Salad w/Blue Cheese Dressing,358,31.9g,8.9g,0g,42.4mg,592.9mg,10.9g,3.9g,3.6g,9.3g
Buffalo Chicken Salad w/Ranch Dressing,259,23g,5g,0g,24mg,392mg,9.8g,3.9g,3.6g,5.2g
Buffalo Chicken Sandwich,607,25.1g,4g,0g,43.5mg,1776.2mg,69.5g,1g,3.1g,24.6g
